snum,dnum,api00,api99,growth,meals,ell,yr_rnd,mobility,acs_k3,acs_46,not_hsg,hsg,some_col,col_grad,grad_sch,avg_ed,full,emer,enroll,mealcat,collcat
889,41,570,501,69,92,21,0,33,15,32,0,0,0,0,0,NA,79,19,463,2,0
906,41,693,600,93,67,9,0,11,16,22,0,0,0,0,0,NA,76,24,247,1,0
1472,395,561,537,24,83,28,0,21,19,34,7,39,25,26,3,2.789999962,45,41,750,2,2
1474,395,657,567,90,64,19,0,25,19,32,23,46,17,14,1,2.24000001,90,3,403,1,1
1475,395,650,631,19,78,33,0,21,19,32,19,37,26,11,8,2.519999981,85,15,262,1,2
1478,395,553,466,87,100,70,1,11,19,35,62,25,9,3,0,1.539999962,73,17,637,2,0
1489,395,568,507,61,84,55,1,16,20,33,33,47,14,4,2,1.960000038,78,15,1029,2,0
1490,395,590,552,38,89,58,1,16,19,33,29,39,22,7,2,2.130000114,58,29,837,2,1
1493,395,637,622,15,78,30,0,28,19,29,24,25,24,22,5,2.589999914,59,23,891,1,1
1497,395,604,529,75,100,68,1,12,20,35,48,33,13,6,1,1.779999971,37,53,591,2,0
1500,395,777,752,25,37,11,0,15,20,34,4,32,23,31,10,3.109999895,84,9,669,0,1
1511,395,492,500,-8,89,48,0,42,18,31,32,32,24,10,2,2.190000057,44,47,810,2,1
1512,395,769,752,17,47,20,0,17,16,25,16,11,30,30,13,3.130000114,95,5,467,1,2
1515,395,667,625,42,85,52,1,18,19,34,41,36,12,8,3,1.970000029,80,16,621,2,0
1516,395,597,543,54,100,71,1,15,20,34,55,26,13,5,1,1.710000038,68,32,590,2,0
1522,395,561,427,134,100,86,1,8,20,35,44,37,14,5,0,1.809999943,48,31,795,2,0
1539,395,700,711,-11,80,51,0,11,20,34,26,27,30,13,4,2.440000057,83,14,295,1,2
1596,401,536,456,80,95,70,1,13,20,29,28,43,19,7,2,2.119999886,61,24,514,2,1
1597,401,532,506,26,100,74,1,7,19,29,42,26,15,15,3,2.130000114,75,20,1007,2,1
1600,401,683,631,52,63,5,0,21,17,28,3,20,22,48,7,3.369999886,64,30,428,1,1
1606,401,588,538,50,61,1,0,20,16,26,0,10,36,48,6,3.49000001,73,19,285,1,2
1611,401,474,415,59,100,73,1,12,19,31,41,35,15,7,1,1.919999957,65,26,738,2,1
1612,401,437,363,74,97,71,1,25,19,29,89,11,0,0,0,1.110000014,51,37,704,2,0
1615,401,657,625,32,75,6,0,26,18,26,4,23,25,36,12,3.289999962,81,22,508,1,2
1616,401,512,480,32,88,27,0,13,16,22,10,24,35,30,2,2.900000095,85,19,297,2,2
1621,401,717,667,50,72,29,0,20,18,29,33,36,12,17,2,2.200000048,90,10,236,1,0
1625,401,631,604,27,65,18,0,23,18,27,13,24,31,25,6,2.859999895,82,15,464,1,2
1633,401,584,501,83,97,61,0,15,14,25,52,43,2,3,0,1.559999943,86,7,244,2,0
1634,401,551,505,46,76,59,0,16,16,28,0,50,25,25,0,2.75,67,24,167,1,2
1638,401,440,403,37,97,54,0,20,18,30,26,27,12,32,1,2.549999952,45,39,1149,2,0
1651,401,650,599,51,73,40,0,7,19,29,7,25,16,43,10,3.24000001,56,33,722,1,1
1652,401,850,832,18,12,5,0,5,18,31,3,5,13,38,41,4.079999924,94,6,235,0,0
1664,401,572,535,37,76,44,0,12,18,25,19,26,24,22,8,2.730000019,90,7,380,1,1
1671,401,853,812,41,37,16,0,15,18,34,2,6,11,29,53,4.25,92,8,311,0,0
1673,401,483,436,47,100,76,0,12,19,31,31,33,14,16,5,2.299999952,59,26,492,2,0
1677,401,534,482,52,100,49,0,22,19,25,43,41,12,3,1,1.769999981,67,21,259,2,0
1678,401,497,440,57,95,66,1,18,19,30,45,36,11,8,0,1.820000052,67,33,1112,2,0
1680,401,744,737,7,31,2,0,22,16,29,1,6,21,55,16,3.779999971,81,11,326,0,1
1682,401,755,716,39,27,2,0,10,16,31,1,18,34,29,19,3.480000019,84,8,283,0,2
1685,401,686,621,65,62,21,0,10,16,26,10,40,28,19,3,2.660000086,85,15,278,1,2
1690,401,735,693,42,71,24,0,10,18,27,7,17,17,31,29,3.579999924,80,7,388,1,1
1696,401,536,508,28,77,9,0,18,19,29,7,25,28,36,4,3.049999952,50,35,528,1,2
1699,401,542,456,86,99,53,0,10,19,30,33,33,20,15,0,2.160000086,67,24,414,2,1
1701,401,664,594,70,52,22,0,19,16,31,4,17,28,38,13,3.390000105,64,20,371,1,2
1704,401,524,511,13,97,53,1,9,17,26,39,29,16,13,2,2.089999914,61,33,338,2,1
1709,401,515,487,28,96,66,0,18,19,27,9,21,18,29,24,3.380000114,61,21,726,2,1
1723,401,369,354,15,99,83,1,16,19,31,74,18,7,1,0,1.340000033,60,33,1009,2,0
1729,401,589,511,78,82,43,0,20,18,25,43,30,15,10,2,1.970000029,73,18,245,2,1
1731,401,719,684,35,79,48,0,15,19,32,7,19,28,34,13,3.25999999,69,23,367,1,2
1740,401,521,452,69,99,64,0,12,18,29,49,25,17,7,1,1.870000005,79,15,484,2,1
1741,401,387,365,22,99,75,1,21,18,28,23,41,13,16,7,2.430000067,66,28,761,2,0
1742,401,657,615,42,63,23,0,22,16,30,19,19,29,29,3,2.769999981,63,27,403,1,2
1743,401,556,508,48,86,56,0,18,18,27,46,31,2,16,4,2.019999981,81,14,372,2,0
1744,401,552,491,61,97,86,1,10,19,28,32,30,21,16,2,2.25999999,69,27,1009,2,1
1747,401,559,511,48,100,74,0,11,17,27,53,28,12,5,2,1.75,84,8,419,2,0
1752,401,467,442,25,100,70,0,16,19,28,52,32,9,6,1,1.730000019,77,17,621,2,0
1757,401,463,438,25,88,75,1,24,19,27,48,32,10,11,1,1.850000024,75,20,631,2,0
1763,401,586,539,47,80,50,0,19,19,27,39,41,12,8,1,1.899999976,79,24,499,1,0
1769,401,420,407,13,98,91,1,31,19,30,49,35,10,6,1,1.75,67,23,1529,2,0
1775,401,771,708,63,31,11,0,16,17,28,10,26,23,26,14,3.069999933,81,15,328,0,1
1778,401,699,660,39,67,35,0,21,19,27,6,12,20,46,16,3.539999962,70,17,665,1,1
1781,401,466,442,24,94,13,0,16,18,29,8,31,33,25,3,2.839999914,73,29,715,2,2
1782,401,548,512,36,70,59,0,14,16,34,13,31,17,30,9,2.900000095,83,17,336,1,1
1783,401,437,377,60,99,90,1,9,19,28,71,19,5,4,1,1.440000057,65,31,943,2,0
1788,401,560,504,56,72,1,0,26,17,27,3,6,52,27,13,3.390000105,73,19,321,1,2
1791,401,482,441,41,100,67,1,35,18,29,42,32,17,9,0,1.929999948,75,21,787,2,1
1795,401,759,725,34,33,18,0,19,14,29,2,39,18,34,7,3.049999952,94,13,355,0,1
1799,401,723,673,50,41,11,1,15,18,31,11,34,19,30,7,2.869999886,85,9,807,0,1
1801,401,457,395,62,100,59,1,21,19,27,18,52,14,16,0,2.289999962,79,21,333,2,0
1805,401,421,399,22,99,86,1,9,18,29,67,0,0,0,33,2.329999924,83,12,1081,2,0
1806,401,406,367,39,100,75,1,15,19,32,0,100,0,0,0,2,59,33,699,2,0
1812,401,917,902,15,6,3,0,8,17,31,1,2,7,37,54,4.409999847,95,0,436,0,0
1815,401,581,548,33,100,63,0,23,19,24,43,35,12,8,2,1.919999957,80,12,290,2,0
1820,401,551,504,47,83,37,1,17,19,28,29,37,15,17,3,2.279999971,76,17,651,2,1
1821,401,412,379,33,100,77,1,8,19,29,67,21,8,4,1,1.5,62,28,1264,2,0
1836,401,506,462,44,87,22,0,22,18,23,22,47,25,5,1,2.130000114,72,17,213,2,2
1851,401,747,735,12,47,14,0,19,18,24,7,29,28,25,10,3.019999981,95,5,239,1,2
1853,401,475,415,60,95,64,0,21,20,28,32,36,18,11,2,2.140000105,67,29,307,2,1
1854,401,470,444,26,98,45,0,17,19,29,28,56,12,3,1,1.940000057,50,31,703,2,0
1858,401,477,424,53,98,56,0,22,19,28,10,48,10,33,0,2.670000076,42,39,446,2,0
1862,401,815,785,30,24,18,0,15,18,30,10,9,10,32,39,3.809999943,100,0,300,0,0
1863,401,387,338,49,96,80,1,14,19,28,67,21,7,4,1,1.5,53,32,1013,2,0
1866,401,821,793,28,48,9,0,20,18,29,5,17,15,40,23,3.579999924,82,18,393,1,1
1868,401,486,422,64,96,75,1,16,19,30,79,17,3,2,0,1.279999971,47,53,617,2,0
1872,401,674,634,40,72,44,0,7,17,21,58,34,5,2,1,1.529999971,57,36,151,1,0
1881,401,394,382,12,99,42,1,22,17,26,29,35,23,11,3,2.230000019,68,24,629,2,1
1885,401,605,600,5,68,31,0,15,17,24,11,19,15,52,3,3.160000086,81,19,277,1,1
1889,401,612,555,57,83,20,0,19,19,27,2,48,25,15,11,2.849999905,81,6,259,2,2
1894,401,459,426,33,99,69,1,8,19,24,46,29,13,7,4,1.940000057,77,25,833,2,0
1895,401,456,415,41,95,65,1,20,18,29,98,1,1,1,0,1.059999943,58,28,821,2,0
1897,401,660,624,36,55,31,0,14,18,29,12,20,19,31,18,3.220000029,80,15,559,1,1
1900,401,486,453,33,96,84,1,19,19,26,48,27,13,11,1,1.889999986,69,27,739,2,0
1903,401,592,489,103,100,67,0,8,18,27,42,21,19,16,3,2.180000067,80,10,443,2,1
1905,401,693,663,30,50,4,0,11,18,27,13,42,19,21,5,2.640000105,81,12,353,1,1
1907,401,506,482,24,79,7,0,24,17,27,46,25,16,12,1,1.960000038,56,38,637,1,1
1909,401,453,423,30,98,53,0,13,18,29,19,36,17,25,4,2.569999933,61,30,570,2,1
1914,401,487,489,-2,91,48,1,22,18,27,33,32,22,8,5,2.210000038,72,21,717,2,1
1919,401,433,425,8,100,74,1,15,19,31,49,29,9,5,8,1.960000038,50,36,859,2,0
1924,401,569,514,55,76,28,0,13,16,24,14,40,22,22,3,2.599999905,73,27,306,1,1
1925,401,435,425,10,98,72,1,14,18,27,41,28,17,13,2,2.059999943,73,21,965,2,1
1926,401,457,399,58,91,74,1,31,20,28,45,36,11,8,1,1.840000033,66,23,1059,2,0
1932,401,694,631,63,56,24,0,24,18,30,18,36,16,25,5,2.640000105,81,12,361,1,1
1941,401,495,451,44,96,41,1,21,18,29,0,100,0,0,0,2,57,30,1127,2,0
1946,401,821,767,54,21,4,0,12,18,29,4,25,22,35,14,3.309999943,76,12,405,0,1
1949,401,696,636,60,66,22,0,17,16,29,11,44,25,19,2,2.569999933,96,11,373,1,2
1952,401,397,333,64,98,84,1,8,19,27,33,0,0,67,0,3,54,40,1004,2,0
1959,401,621,605,16,82,45,0,17,18,25,42,50,8,0,0,1.669999957,86,11,320,2,0
1961,401,582,538,44,89,67,1,26,19,27,26,17,16,28,13,2.839999914,68,32,401,2,1
1977,401,386,358,28,96,65,1,23,19,25,40,60,0,0,0,1.600000024,46,42,364,2,0
1978,401,894,860,34,13,1,0,22,19,26,1,21,19,43,15,3.5,93,5,615,0,1
1990,401,650,611,39,75,64,1,9,20,28,19,24,13,38,6,2.880000114,80,10,848,1,0
1994,401,428,396,32,97,43,1,24,19,30,37,30,14,18,1,2.160000086,59,39,922,2,0
1995,401,756,717,39,17,4,0,14,19,31,5,48,10,32,6,2.849999905,90,10,455,0,0
1997,401,471,416,55,99,46,1,15,19,33,36,27,15,13,9,2.309999943,64,30,743,2,1
2074,401,474,427,47,89,64,0,28,19,27,44,30,18,5,4,1.940000057,75,17,450,2,1
2077,401,840,816,24,33,25,0,11,20,29,0,0,0,0,0,NA,100,0,276,0,0
2080,401,493,484,9,82,67,1,20,19,28,37,33,14,13,2,2.089999914,65,29,1570,2,0
2082,401,520,476,44,95,53,1,27,18,29,43,30,17,7,3,1.970000029,48,42,1036,2,1
2087,401,476,430,46,90,70,1,10,18,29,28,43,14,14,1,2.180000067,71,25,852,2,0
2088,401,429,419,10,92,78,1,15,19,26,61,23,10,4,3,1.659999967,62,26,768,2,0
2092,401,474,423,51,98,65,1,14,18,28,32,32,23,6,6,2.220000029,52,33,587,2,1
2240,541,599,541,58,76,12,0,20,19,24,0,0,0,0,0,NA,61,44,198,1,0
2247,541,508,486,22,77,43,0,16,20,28,0,0,0,0,0,NA,44,48,333,1,0
2267,570,897,888,9,11,1,0,13,22,31,1,28,23,39,8,3.25,75,25,547,0,1
2278,570,457,404,53,93,62,1,16,21,30,47,32,16,3,1,1.789999962,53,44,684,2,1
2282,570,582,553,29,64,25,0,20,21,31,19,30,28,17,6,2.609999895,86,14,312,1,2
2459,284,871,840,31,14,15,0,15,21,34,1,8,13,41,36,4.019999981,83,13,404,0,0
2460,284,581,497,84,70,26,0,14,23,25,22,29,23,21,6,2.599999905,63,32,182,1,1
2479,284,784,739,45,23,25,0,21,21,36,5,21,20,44,10,3.319999933,58,25,166,0,1
2880,108,813,780,33,22,11,0,12,21,32,10,35,23,27,6,2.839999914,100,0,417,0,1
2882,108,536,496,40,71,69,0,8,21,27,61,15,6,10,8,1.899999976,100,6,404,1,0
2887,108,737,703,34,29,15,0,17,21,29,8,25,34,27,7,2.980000019,96,7,362,0,2
2890,108,856,816,40,7,6,0,13,21,29,1,10,15,42,32,3.950000048,100,0,670,0,1
2895,108,809,802,7,7,8,0,16,20,31,5,27,25,37,6,3.119999886,89,7,379,0,2
2899,108,860,838,22,5,6,0,10,20,30,2,9,15,42,33,3.960000038,100,0,660,0,1
2907,108,847,815,32,3,2,0,11,20,29,1,5,17,41,37,4.079999924,97,3,586,0,1
2908,108,765,711,54,13,8,0,19,21,27,5,34,27,31,3,2.930000067,98,2,633,0,2
2910,108,831,791,40,2,3,0,44,20,31,0,4,16,50,30,4.059999943,96,2,1513,0,1
2911,108,851,808,43,1,2,0,16,20,30,0,3,16,45,37,4.150000095,100,2,768,0,1
2972,259,664,617,47,72,71,0,13,19,30,19,30,26,23,2,2.579999924,91,13,306,1,2
2977,259,616,566,50,75,65,0,23,21,31,34,31,15,19,1,2.220000029,93,7,432,1,1
2982,259,536,465,71,93,84,0,14,21,29,0,0,0,0,0,NA,92,8,570,2,0
2997,259,627,546,81,71,71,0,15,20,33,39,24,15,20,2,2.220000029,96,4,410,1,1
3000,259,628,554,74,75,74,0,25,20,28,0,0,50,50,0,3.5,84,16,485,1,2
3004,259,822,787,35,8,4,0,10,19,27,0,19,19,29,33,3.75999999,87,13,313,0,1
3005,259,596,534,62,65,46,0,20,21,29,40,42,14,3,0,1.809999943,100,0,224,1,0
3010,259,638,569,69,80,71,0,11,20,31,64,30,4,2,0,1.440000057,93,7,705,1,0
3011,259,655,620,35,56,52,0,19,21,29,24,34,32,10,0,2.269999981,96,4,447,1,2
3013,259,538,497,41,80,82,0,19,21,31,24,42,22,7,5,2.269999981,91,9,544,1,1
3024,259,727,670,57,60,50,0,24,21,30,21,24,17,25,12,2.829999924,100,0,547,1,1
3051,491,892,882,10,3,1,0,20,19,30,0,4,10,38,48,4.289999962,100,0,523,0,0
3055,491,590,587,3,66,52,0,10,19,NA,30,23,26,15,6,2.460000038,87,13,198,1,2
3060,491,669,670,-1,48,40,0,19,18,28,20,17,33,20,10,2.829999924,91,13,235,1,2
3070,491,479,443,36,91,82,0,14,20,28,55,21,16,6,2,1.789999962,94,6,396,2,1
3072,491,763,769,-6,15,19,0,18,19,NA,7,18,36,27,11,3.170000076,100,0,187,0,2
3121,653,529,502,27,88,75,1,13,19,29,46,33,15,4,3,1.860000014,83,17,611,2,1
3127,653,473,437,36,95,86,1,15,21,30,83,8,8,0,0,1.25,71,29,590,2,0
3128,653,521,502,19,90,74,1,12,21,28,54,28,14,3,1,1.700000048,75,24,779,2,0
3129,653,531,502,29,82,74,1,13,22,28,43,37,16,3,1,1.799999952,83,17,602,2,1
3133,653,744,677,67,58,35,0,13,20,31,22,26,32,10,10,2.599999905,88,12,688,1,2
3145,653,806,815,-9,32,14,0,20,21,30,10,24,43,14,9,2.880000114,91,9,695,0,2
3151,653,444,413,31,91,88,1,14,21,27,58,30,10,1,0,1.559999943,70,30,593,2,0
3184,621,790,758,32,26,15,0,17,19,32,16,27,23,29,6,2.819999933,95,7,539,0,1
3187,621,689,682,7,51,36,0,13,19,32,31,25,16,23,5,2.470000029,90,10,519,1,1
3193,621,841,840,1,6,5,0,17,19,31,3,23,24,35,16,3.390000105,97,3,510,0,1
3196,621,799,762,37,21,8,0,12,19,32,15,43,21,16,5,2.539999962,98,3,560,0,1
3200,621,854,854,0,6,1,0,13,19,32,4,31,25,36,4,3.039999962,97,0,586,0,2
3202,621,839,810,29,12,3,0,17,17,30,8,20,24,39,9,3.230000019,100,8,203,0,1
3203,621,845,799,46,14,4,0,12,19,30,6,25,27,35,9,3.160000086,97,6,410,0,2
3236,316,912,900,12,6,7,0,22,21,30,0,0,33,0,67,4.329999924,97,6,611,0,2
3240,316,883,821,62,7,20,0,35,19,31,0,0,0,100,0,4,100,0,440,0,0
3241,316,844,834,10,12,14,0,21,21,26,0,0,67,33,0,3.329999924,100,3,381,0,2
3247,316,858,818,40,4,8,0,17,20,27,0,20,0,80,0,3.599999905,95,5,357,0,0
3250,316,894,881,13,4,4,0,13,20,26,0,0,0,0,0,NA,97,0,466,0,0
3256,316,880,841,39,11,7,0,11,21,31,0,50,50,0,0,2.5,90,3,503,0,2
3258,316,847,817,30,7,7,0,17,20,31,0,0,0,0,0,NA,100,0,388,0,0
3511,605,688,662,26,40,10,0,23,20,28,15,18,38,17,13,2.960000038,92,11,554,0,2
3516,605,574,519,55,65,21,0,24,20,29,24,26,36,10,4,2.440000057,84,16,243,1,2
3518,605,623,564,59,60,23,0,16,19,27,25,31,28,14,3,2.400000095,94,16,384,1,2
3519,605,532,525,7,62,36,0,19,19,34,39,29,22,6,3,2.059999943,87,23,541,1,1
3520,605,643,575,68,63,29,1,19,19,27,24,20,28,10,17,2.75999999,87,23,573,1,2
3523,605,657,618,39,48,14,0,23,20,32,14,33,42,7,4,2.539999962,89,17,515,1,2
3525,605,632,568,64,51,18,1,19,19,31,21,27,33,12,7,2.569999933,91,15,555,1,2
3535,605,705,673,32,20,6,0,15,19,30,7,19,38,18,19,3.24000001,96,11,490,0,2
3537,605,694,678,16,12,4,1,15,19,29,3,12,41,27,17,3.410000086,89,16,617,0,2
3622,209,686,633,53,75,33,1,24,21,32,32,35,16,14,3,2.210000038,98,2,744,1,1
3623,209,816,745,71,16,6,0,18,19,32,6,17,27,36,14,3.349999905,100,0,307,0,2
3624,209,806,745,61,21,6,1,25,19,30,5,30,28,21,16,3.119999886,90,5,487,0,2
3629,209,553,485,68,86,38,1,32,20,32,33,28,27,8,4,2.200000048,95,5,819,2,2
3643,209,822,766,56,16,10,1,47,21,32,1,11,29,38,19,3.630000114,95,3,830,0,2
3644,209,775,726,49,26,13,0,18,21,33,4,10,35,36,16,3.50999999,93,7,816,0,2
3696,600,483,450,33,89,43,0,38,19,27,46,44,8,3,0,1.690000057,100,0,334,2,0
3697,600,690,653,37,65,5,0,26,21,25,2,90,7,1,0,2.069999933,100,0,319,1,0
3698,600,720,643,77,55,9,0,19,18,26,10,68,18,5,0,2.170000076,100,4,332,1,1
3700,600,717,665,52,77,11,0,29,19,27,28,42,24,6,0,2.079999924,100,0,351,1,1
3701,600,687,617,70,62,18,0,19,21,26,5,65,25,4,1,2.299999952,100,0,318,1,2
3715,600,696,636,60,50,11,0,23,19,30,6,64,23,6,0,2.319999933,100,0,495,1,1
3736,620,556,542,14,61,46,0,39,22,25,22,26,30,20,3,2.569999933,96,15,657,1,2
3741,620,573,516,57,100,51,0,31,20,32,37,31,15,16,2,2.140000105,100,6,434,2,1
3751,620,592,533,59,100,22,0,35,20,30,0,85,11,2,2,2.220000029,100,13,222,2,0
3754,620,732,672,60,63,8,0,37,19,30,16,36,24,22,2,2.589999914,100,9,292,1,1
3757,620,707,667,40,57,11,0,22,21,31,4,15,46,23,12,3.230000019,100,11,309,1,2
3758,620,690,642,48,98,51,0,10,20,28,28,25,28,15,4,2.400000095,100,5,230,2,2
3759,620,585,556,29,54,11,0,27,25,37,8,31,22,29,10,3.019999981,100,8,133,1,1
3765,620,758,701,57,45,10,0,21,22,34,0,46,25,23,5,2.869999886,94,12,207,0,2
3772,620,829,824,5,22,7,0,14,19,33,10,26,21,30,13,3.089999914,100,0,329,0,1
3784,620,859,801,58,18,1,0,9,21,33,0,7,17,35,42,4.119999886,100,0,406,0,1
3785,620,459,439,20,98,52,0,36,19,27,31,29,22,17,1,2.279999971,100,17,645,2,1
3791,620,724,674,50,49,20,0,24,19,35,0,22,33,36,9,3.329999924,100,11,401,1,2
3793,620,528,460,68,99,35,0,27,18,33,19,41,30,8,3,2.359999895,96,4,358,2,2
3794,620,610,540,70,100,47,0,31,20,23,75,15,0,0,10,1.549999952,100,18,170,2,0
3822,636,622,588,34,76,6,0,38,20,35,7,59,29,6,0,2.339999914,95,5,222,1,2
3824,636,876,850,26,23,1,0,21,23,34,3,11,28,29,30,3.710000038,95,0,399,0,2
3826,636,831,842,-11,11,2,0,9,20,46,1,6,27,48,18,3.75,88,8,318,0,2
3828,636,624,596,28,78,12,0,36,20,44,16,28,39,12,4,2.599999905,86,10,290,1,2
3833,636,601,499,102,100,24,0,31,20,33,30,31,25,13,1,2.25999999,85,10,269,2,2
3834,636,640,622,18,69,42,0,22,19,43,8,30,34,24,4,2.869999886,95,5,297,1,2
3835,636,556,537,19,100,28,0,32,20,50,33,26,25,13,3,2.269999981,79,15,410,2,2
3839,636,863,848,15,14,1,0,18,20,46,0,9,24,39,28,3.849999905,100,0,355,0,1
3843,636,709,690,19,52,3,0,24,20,31,7,34,37,18,4,2.769999981,100,0,339,1,2
3845,636,763,748,15,40,2,0,24,17,41,11,24,33,22,11,2.980000019,80,15,300,0,2
3848,636,801,794,7,27,1,0,19,20,45,1,24,33,30,11,3.25999999,95,5,317,0,2
3850,636,727,655,72,40,1,0,29,18,39,10,35,25,23,8,2.849999905,100,0,146,0,2
3853,636,743,726,17,48,2,0,27,20,42,6,28,38,21,7,2.950000048,92,8,367,1,2
3854,636,883,851,32,20,1,0,24,21,40,1,14,28,35,22,3.640000105,96,4,394,0,2
3864,636,568,527,41,78,30,0,36,20,49,17,38,35,9,2,2.400000095,75,10,321,1,2
3865,636,847,837,10,9,0,0,8,20,35,1,15,25,38,21,3.619999886,95,5,312,0,2
3867,636,762,739,23,23,1,0,8,20,42,1,17,38,36,8,3.319999933,100,0,337,0,2
3869,636,724,686,38,48,25,0,19,20,42,10,26,33,27,4,2.900000095,90,7,457,1,2
3943,131,704,618,86,57,19,1,22,20,30,15,32,35,14,5,2.619999886,69,29,564,1,2
